category,score
interop-2021-transforms,957
interop-2022-scrolling,937
interop-2022-subgrid,894
interop-2023-color,983
interop-2023-contain,825
interop-2023-container,937
interop-2023-cssborderimage,1000
interop-2023-cssmasking,871
interop-2023-events,675
interop-2023-flexbox,927
interop-2023-fonts,999
interop-2023-forms,842
interop-2023-grid,899
interop-2023-has,969
interop-2023-inert,1000
interop-2023-mathfunctions,999
interop-2023-mediaqueries,979
interop-2023-modules,993
interop-2023-motion,870
interop-2023-offscreencanvas,971
interop-2023-property,999
interop-2023-pseudos,977
interop-2023-url,997
interop-2023-webcodecs,918
interop-2023-webcompat,988
interop-2023-webcomponents,1000
