category,score
interop-2021-transforms,940
interop-2022-scrolling,966
interop-2022-subgrid,923
interop-2023-color,960
interop-2023-contain,931
interop-2023-container,953
interop-2023-cssborderimage,986
interop-2023-cssmasking,847
interop-2023-events,857
interop-2023-flexbox,917
interop-2023-fonts,963
interop-2023-forms,851
interop-2023-grid,888
interop-2023-has,1000
interop-2023-inert,1000
interop-2023-mathfunctions,955
interop-2023-mediaqueries,979
interop-2023-modules,993
interop-2023-motion,982
interop-2023-offscreencanvas,970
interop-2023-property,999
interop-2023-pseudos,978
interop-2023-url,997
interop-2023-webcodecs,947
interop-2023-webcompat,977
interop-2023-webcomponents,988
