category,score
interop-2021-transforms,962
interop-2022-scrolling,934
interop-2022-subgrid,737
interop-2023-color,944
interop-2023-contain,969
interop-2023-container,897
interop-2023-cssborderimage,933
interop-2023-cssmasking,981
interop-2023-events,862
interop-2023-flexbox,969
interop-2023-fonts,1000
interop-2023-forms,967
interop-2023-grid,882
interop-2023-has,239
interop-2023-inert,1000
interop-2023-mathfunctions,924
interop-2023-mediaqueries,990
interop-2023-modules,948
interop-2023-motion,766
interop-2023-offscreencanvas,917
interop-2023-property,47
interop-2023-pseudos,956
interop-2023-url,815
interop-2023-webcodecs,14
interop-2023-webcompat,692
interop-2023-webcomponents,969
