category,score
interop-2021-transforms,919
interop-2022-scrolling,917
interop-2022-subgrid,814
interop-2023-color,942
interop-2023-contain,687
interop-2023-container,820
interop-2023-cssborderimage,934
interop-2023-cssmasking,840
interop-2023-events,441
interop-2023-flexbox,897
interop-2023-fonts,881
interop-2023-forms,850
interop-2023-grid,884
interop-2023-has,891
interop-2023-inert,947
interop-2023-mathfunctions,932
interop-2023-mediaqueries,938
interop-2023-modules,945
interop-2023-motion,657
interop-2023-offscreencanvas,880
interop-2023-property,937
interop-2023-pseudos,818
interop-2023-url,965
interop-2023-webcodecs,615
interop-2023-webcompat,650
interop-2023-webcomponents,916
