category,score
interop-2021-transforms,961
interop-2022-scrolling,934
interop-2022-subgrid,724
interop-2023-color,943
interop-2023-contain,827
interop-2023-container,897
interop-2023-cssborderimage,933
interop-2023-cssmasking,981
interop-2023-events,745
interop-2023-flexbox,969
interop-2023-fonts,1000
interop-2023-forms,967
interop-2023-grid,882
interop-2023-has,239
interop-2023-inert,1000
interop-2023-mathfunctions,784
interop-2023-mediaqueries,979
interop-2023-modules,684
interop-2023-motion,508
interop-2023-offscreencanvas,915
interop-2023-property,47
interop-2023-pseudos,945
interop-2023-url,815
interop-2023-webcodecs,14
interop-2023-webcompat,686
interop-2023-webcomponents,958
