category,score
interop-2021-transforms,998
interop-2022-scrolling,982
interop-2022-subgrid,985
interop-2023-color,993
interop-2023-contain,995
interop-2023-container,1000
interop-2023-cssborderimage,1000
interop-2023-cssmasking,995
interop-2023-events,880
interop-2023-flexbox,998
interop-2023-fonts,1000
interop-2023-forms,986
interop-2023-grid,996
interop-2023-has,974
interop-2023-inert,1000
interop-2023-mathfunctions,998
interop-2023-mediaqueries,1000
interop-2023-modules,993
interop-2023-motion,1000
interop-2023-offscreencanvas,1000
interop-2023-property,1000
interop-2023-pseudos,1000
interop-2023-url,867
interop-2023-webcodecs,1000
interop-2023-webcompat,998
interop-2023-webcomponents,964
