category,score
interop-2021-transforms,872
interop-2022-scrolling,918
interop-2022-subgrid,787
interop-2023-color,876
interop-2023-contain,738
interop-2023-container,898
interop-2023-cssborderimage,907
interop-2023-cssmasking,805
interop-2023-events,603
interop-2023-flexbox,847
interop-2023-fonts,853
interop-2023-forms,835
interop-2023-grid,847
interop-2023-has,938
interop-2023-inert,947
interop-2023-mathfunctions,993
interop-2023-mediaqueries,857
interop-2023-modules,693
interop-2023-motion,659
interop-2023-offscreencanvas,914
interop-2023-property,937
interop-2023-pseudos,858
interop-2023-url,996
interop-2023-webcodecs,895
interop-2023-webcompat,943
interop-2023-webcomponents,886
