category,score
interop-2021-transforms,971
interop-2022-scrolling,948
interop-2022-subgrid,120
interop-2023-color,946
interop-2023-contain,950
interop-2023-container,937
interop-2023-cssborderimage,842
interop-2023-cssmasking,670
interop-2023-events,654
interop-2023-flexbox,994
interop-2023-fonts,980
interop-2023-forms,886
interop-2023-grid,994
interop-2023-has,846
interop-2023-inert,1000
interop-2023-mathfunctions,615
interop-2023-mediaqueries,948
interop-2023-modules,993
interop-2023-motion,641
interop-2023-offscreencanvas,935
interop-2023-property,882
interop-2023-pseudos,233
interop-2023-url,812
interop-2023-webcodecs,913
interop-2023-webcompat,462
interop-2023-webcomponents,914
