category,score
interop-2021-transforms,968
interop-2022-scrolling,937
interop-2022-subgrid,720
interop-2023-color,948
interop-2023-contain,726
interop-2023-container,823
interop-2023-cssborderimage,840
interop-2023-cssmasking,862
interop-2023-events,398
interop-2023-flexbox,937
interop-2023-fonts,888
interop-2023-forms,844
interop-2023-grid,905
interop-2023-has,801
interop-2023-inert,776
interop-2023-mathfunctions,907
interop-2023-mediaqueries,642
interop-2023-modules,483
interop-2023-motion,715
interop-2023-offscreencanvas,0
interop-2023-property,49
interop-2023-pseudos,420
interop-2023-url,986
interop-2023-webcodecs,14
interop-2023-webcompat,576
interop-2023-webcomponents,596
