category,score
interop-2021-transforms,973
interop-2022-scrolling,937
interop-2022-subgrid,894
interop-2023-color,990
interop-2023-contain,822
interop-2023-container,922
interop-2023-cssborderimage,1000
interop-2023-cssmasking,893
interop-2023-events,389
interop-2023-flexbox,941
interop-2023-fonts,999
interop-2023-forms,787
interop-2023-grid,908
interop-2023-has,938
interop-2023-inert,789
interop-2023-mathfunctions,993
interop-2023-mediaqueries,1000
interop-2023-modules,901
interop-2023-motion,723
interop-2023-offscreencanvas,914
interop-2023-property,937
interop-2023-pseudos,978
interop-2023-url,756
interop-2023-webcodecs,652
interop-2023-webcompat,988
interop-2023-webcomponents,954
