category,score
interop-2021-transforms,962
interop-2022-scrolling,934
interop-2022-subgrid,670
interop-2023-color,926
interop-2023-contain,971
interop-2023-container,882
interop-2023-cssborderimage,906
interop-2023-cssmasking,949
interop-2023-events,863
interop-2023-flexbox,970
interop-2023-fonts,1000
interop-2023-forms,968
interop-2023-grid,882
interop-2023-has,239
interop-2023-inert,1000
interop-2023-mathfunctions,921
interop-2023-mediaqueries,979
interop-2023-modules,930
interop-2023-motion,769
interop-2023-offscreencanvas,915
interop-2023-property,49
interop-2023-pseudos,956
interop-2023-url,816
interop-2023-webcodecs,14
interop-2023-webcompat,703
interop-2023-webcomponents,958
