category,score
interop-2021-transforms,956
interop-2022-scrolling,918
interop-2022-subgrid,635
interop-2023-color,479
interop-2023-contain,825
interop-2023-container,0
interop-2023-cssborderimage,907
interop-2023-cssmasking,904
interop-2023-events,739
interop-2023-flexbox,963
interop-2023-fonts,951
interop-2023-forms,942
interop-2023-grid,880
interop-2023-has,239
interop-2023-inert,380
interop-2023-mathfunctions,784
interop-2023-mediaqueries,770
interop-2023-modules,684
interop-2023-motion,509
interop-2023-offscreencanvas,853
interop-2023-property,45
interop-2023-pseudos,314
interop-2023-url,775
interop-2023-webcodecs,14
interop-2023-webcompat,514
interop-2023-webcomponents,926
