category,score
interop-2021-transforms,969
interop-2022-scrolling,957
interop-2022-subgrid,720
interop-2023-color,952
interop-2023-contain,729
interop-2023-container,818
interop-2023-cssborderimage,828
interop-2023-cssmasking,859
interop-2023-events,466
interop-2023-flexbox,935
interop-2023-fonts,909
interop-2023-forms,856
interop-2023-grid,906
interop-2023-has,750
interop-2023-inert,776
interop-2023-mathfunctions,881
interop-2023-mediaqueries,875
interop-2023-modules,945
interop-2023-motion,715
interop-2023-offscreencanvas,0
interop-2023-property,40
interop-2023-pseudos,491
interop-2023-url,947
interop-2023-webcodecs,352
interop-2023-webcompat,545
interop-2023-webcomponents,792
