category,score
interop-2021-transforms,863
interop-2022-scrolling,780
interop-2022-subgrid,774
interop-2023-color,865
interop-2023-contain,722
interop-2023-container,814
interop-2023-cssborderimage,881
interop-2023-cssmasking,779
interop-2023-events,389
interop-2023-flexbox,811
interop-2023-fonts,890
interop-2023-forms,751
interop-2023-grid,794
interop-2023-has,867
interop-2023-inert,789
interop-2023-mathfunctions,845
interop-2023-mediaqueries,795
interop-2023-modules,951
interop-2023-motion,787
interop-2023-offscreencanvas,844
interop-2023-property,936
interop-2023-pseudos,912
interop-2023-url,757
interop-2023-webcodecs,664
interop-2023-webcompat,886
interop-2023-webcomponents,852
