category,score
interop-2021-transforms,979
interop-2022-scrolling,942
interop-2022-subgrid,826
interop-2023-color,993
interop-2023-contain,993
interop-2023-container,1000
interop-2023-cssborderimage,1000
interop-2023-cssmasking,701
interop-2023-events,819
interop-2023-flexbox,995
interop-2023-fonts,980
interop-2023-forms,946
interop-2023-grid,994
interop-2023-has,1000
interop-2023-inert,1000
interop-2023-mathfunctions,942
interop-2023-mediaqueries,1000
interop-2023-modules,968
interop-2023-motion,958
interop-2023-offscreencanvas,933
interop-2023-property,1000
interop-2023-pseudos,946
interop-2023-url,833
interop-2023-webcodecs,986
interop-2023-webcompat,810
interop-2023-webcomponents,948
