category,score
interop-2021-transforms,952
interop-2022-scrolling,957
interop-2022-subgrid,774
interop-2023-color,952
interop-2023-contain,800
interop-2023-container,886
interop-2023-cssborderimage,971
interop-2023-cssmasking,848
interop-2023-events,536
interop-2023-flexbox,909
interop-2023-fonts,926
interop-2023-forms,859
interop-2023-grid,883
interop-2023-has,921
interop-2023-inert,1000
interop-2023-mathfunctions,931
interop-2023-mediaqueries,979
interop-2023-modules,945
interop-2023-motion,698
interop-2023-offscreencanvas,930
interop-2023-property,906
interop-2023-pseudos,946
interop-2023-url,990
interop-2023-webcodecs,802
interop-2023-webcompat,992
interop-2023-webcomponents,1000
