category,score
interop-2021-transforms,981
interop-2022-scrolling,937
interop-2022-subgrid,986
interop-2023-color,993
interop-2023-contain,996
interop-2023-container,997
interop-2023-cssborderimage,1000
interop-2023-cssmasking,713
interop-2023-events,821
interop-2023-flexbox,997
interop-2023-fonts,1000
interop-2023-forms,851
interop-2023-grid,994
interop-2023-has,953
interop-2023-inert,1000
interop-2023-mathfunctions,753
interop-2023-mediaqueries,1000
interop-2023-modules,990
interop-2023-motion,996
interop-2023-offscreencanvas,941
interop-2023-property,976
interop-2023-pseudos,767
interop-2023-url,860
interop-2023-webcodecs,969
interop-2023-webcompat,996
interop-2023-webcomponents,943
