category,score
interop-2021-transforms,973
interop-2022-scrolling,937
interop-2022-subgrid,867
interop-2023-color,976
interop-2023-contain,815
interop-2023-container,877
interop-2023-cssborderimage,1000
interop-2023-cssmasking,866
interop-2023-events,536
interop-2023-flexbox,921
interop-2023-fonts,981
interop-2023-forms,846
interop-2023-grid,900
interop-2023-has,921
interop-2023-inert,1000
interop-2023-mathfunctions,931
interop-2023-mediaqueries,1000
interop-2023-modules,945
interop-2023-motion,723
interop-2023-offscreencanvas,933
interop-2023-property,906
interop-2023-pseudos,955
interop-2023-url,990
interop-2023-webcodecs,802
interop-2023-webcompat,980
interop-2023-webcomponents,1000
