category,score
interop-2021-transforms,959
interop-2022-scrolling,957
interop-2022-subgrid,990
interop-2023-color,987
interop-2023-contain,973
interop-2023-container,945
interop-2023-cssborderimage,986
interop-2023-cssmasking,890
interop-2023-events,851
interop-2023-flexbox,939
interop-2023-fonts,1000
interop-2023-forms,872
interop-2023-grid,908
interop-2023-has,974
interop-2023-inert,1000
interop-2023-mathfunctions,955
interop-2023-mediaqueries,1000
interop-2023-modules,993
interop-2023-motion,992
interop-2023-offscreencanvas,971
interop-2023-property,998
interop-2023-pseudos,989
interop-2023-url,997
interop-2023-webcodecs,961
interop-2023-webcompat,999
interop-2023-webcomponents,1000
