category,score
interop-2021-transforms,979
interop-2022-scrolling,948
interop-2022-subgrid,207
interop-2023-color,982
interop-2023-contain,982
interop-2023-container,995
interop-2023-cssborderimage,1000
interop-2023-cssmasking,699
interop-2023-events,653
interop-2023-flexbox,994
interop-2023-fonts,981
interop-2023-forms,854
interop-2023-grid,993
interop-2023-has,974
interop-2023-inert,1000
interop-2023-mathfunctions,750
interop-2023-mediaqueries,999
interop-2023-modules,993
interop-2023-motion,433
interop-2023-offscreencanvas,932
interop-2023-property,976
interop-2023-pseudos,769
interop-2023-url,833
interop-2023-webcodecs,949
interop-2023-webcompat,783
interop-2023-webcomponents,923
