category,score
interop-2021-transforms,980
interop-2022-scrolling,938
interop-2022-subgrid,841
interop-2023-color,971
interop-2023-contain,730
interop-2023-container,837
interop-2023-cssborderimage,973
interop-2023-cssmasking,889
interop-2023-events,393
interop-2023-flexbox,933
interop-2023-fonts,935
interop-2023-forms,756
interop-2023-grid,904
interop-2023-has,915
interop-2023-inert,842
interop-2023-mathfunctions,878
interop-2023-mediaqueries,999
interop-2023-modules,779
interop-2023-motion,659
interop-2023-offscreencanvas,762
interop-2023-property,937
interop-2023-pseudos,882
interop-2023-url,885
interop-2023-webcodecs,414
interop-2023-webcompat,673
interop-2023-webcomponents,736
