category,score
interop-2021-transforms,971
interop-2022-scrolling,948
interop-2022-subgrid,120
interop-2023-color,975
interop-2023-contain,958
interop-2023-container,944
interop-2023-cssborderimage,842
interop-2023-cssmasking,670
interop-2023-events,630
interop-2023-flexbox,994
interop-2023-fonts,980
interop-2023-forms,886
interop-2023-grid,994
interop-2023-has,923
interop-2023-inert,1000
interop-2023-mathfunctions,717
interop-2023-mediaqueries,990
interop-2023-modules,972
interop-2023-motion,641
interop-2023-offscreencanvas,935
interop-2023-property,884
interop-2023-pseudos,609
interop-2023-url,812
interop-2023-webcodecs,913
interop-2023-webcompat,486
interop-2023-webcomponents,925
