category,score
interop-2021-transforms,972
interop-2022-scrolling,948
interop-2022-subgrid,120
interop-2023-color,490
interop-2023-contain,962
interop-2023-container,937
interop-2023-cssborderimage,855
interop-2023-cssmasking,695
interop-2023-events,582
interop-2023-flexbox,994
interop-2023-fonts,962
interop-2023-forms,854
interop-2023-grid,994
interop-2023-has,896
interop-2023-inert,1000
interop-2023-mathfunctions,613
interop-2023-mediaqueries,927
interop-2023-modules,972
interop-2023-motion,443
interop-2023-offscreencanvas,932
interop-2023-property,885
interop-2023-pseudos,95
interop-2023-url,843
interop-2023-webcodecs,971
interop-2023-webcompat,396
interop-2023-webcomponents,933
