category,score
interop-2021-transforms,979
interop-2022-scrolling,939
interop-2022-subgrid,812
interop-2023-color,950
interop-2023-contain,827
interop-2023-container,898
interop-2023-cssborderimage,973
interop-2023-cssmasking,977
interop-2023-events,763
interop-2023-flexbox,978
interop-2023-fonts,1000
interop-2023-forms,995
interop-2023-grid,890
interop-2023-has,239
interop-2023-inert,1000
interop-2023-mathfunctions,798
interop-2023-mediaqueries,990
interop-2023-modules,958
interop-2023-motion,506
interop-2023-offscreencanvas,938
interop-2023-property,47
interop-2023-pseudos,947
interop-2023-url,824
interop-2023-webcodecs,14
interop-2023-webcompat,734
interop-2023-webcomponents,962
