category,score
interop-2021-transforms,993
interop-2022-scrolling,963
interop-2022-subgrid,1000
interop-2023-color,1000
interop-2023-contain,997
interop-2023-container,1000
interop-2023-cssborderimage,1000
interop-2023-cssmasking,790
interop-2023-events,821
interop-2023-flexbox,998
interop-2023-fonts,1000
interop-2023-forms,986
interop-2023-grid,996
interop-2023-has,1000
interop-2023-inert,1000
interop-2023-mathfunctions,926
interop-2023-mediaqueries,1000
interop-2023-modules,993
interop-2023-motion,1000
interop-2023-offscreencanvas,998
interop-2023-property,1000
interop-2023-pseudos,1000
interop-2023-url,867
interop-2023-webcodecs,984
interop-2023-webcompat,996
interop-2023-webcomponents,964
