category,score
interop-2021-transforms,972
interop-2022-scrolling,947
interop-2022-subgrid,760
interop-2023-color,982
interop-2023-contain,811
interop-2023-container,850
interop-2023-cssborderimage,998
interop-2023-cssmasking,881
interop-2023-events,465
interop-2023-flexbox,935
interop-2023-fonts,955
interop-2023-forms,845
interop-2023-grid,906
interop-2023-has,915
interop-2023-inert,1000
interop-2023-mathfunctions,864
interop-2023-mediaqueries,999
interop-2023-modules,952
interop-2023-motion,666
interop-2023-offscreencanvas,896
interop-2023-property,937
interop-2023-pseudos,882
interop-2023-url,992
interop-2023-webcodecs,641
interop-2023-webcompat,944
interop-2023-webcomponents,1000
