category,score
interop-2021-transforms,975
interop-2022-scrolling,928
interop-2022-subgrid,812
interop-2023-color,942
interop-2023-contain,827
interop-2023-container,898
interop-2023-cssborderimage,934
interop-2023-cssmasking,977
interop-2023-events,763
interop-2023-flexbox,978
interop-2023-fonts,1000
interop-2023-forms,986
interop-2023-grid,884
interop-2023-has,239
interop-2023-inert,1000
interop-2023-mathfunctions,791
interop-2023-mediaqueries,990
interop-2023-modules,958
interop-2023-motion,506
interop-2023-offscreencanvas,937
interop-2023-property,47
interop-2023-pseudos,947
interop-2023-url,815
interop-2023-webcodecs,14
interop-2023-webcompat,734
interop-2023-webcomponents,960
