category,score
interop-2021-transforms,995
interop-2022-scrolling,963
interop-2022-subgrid,986
interop-2023-color,993
interop-2023-contain,993
interop-2023-container,1000
interop-2023-cssborderimage,1000
interop-2023-cssmasking,773
interop-2023-events,821
interop-2023-flexbox,998
interop-2023-fonts,1000
interop-2023-forms,958
interop-2023-grid,996
interop-2023-has,960
interop-2023-inert,1000
interop-2023-mathfunctions,760
interop-2023-mediaqueries,1000
interop-2023-modules,993
interop-2023-motion,1000
interop-2023-offscreencanvas,998
interop-2023-property,945
interop-2023-pseudos,785
interop-2023-url,867
interop-2023-webcodecs,963
interop-2023-webcompat,996
interop-2023-webcomponents,960
