date,chrome_android-version,chrome_android-interop-2023-events,chrome_android-interop-2023-property,chrome_android-interop-2023-url,chrome_android-interop-2024-accessibility,chrome_android-interop-2024-dir,chrome_android-interop-2024-dsd,chrome_android-interop-2024-font-size-adjust,chrome_android-interop-2024-indexeddb,chrome_android-interop-2024-layout,chrome_android-interop-2024-nesting,chrome_android-interop-2024-popover,chrome_android-interop-2024-relative-color,chrome_android-interop-2024-scrollbar,chrome_android-interop-2024-starting-style-transition-behavior,chrome_android-interop-2024-text-wrap,chrome_android-interop-2024-video-rvfc,chrome_android-interop-2024-websockets,firefox_android-version,firefox_android-interop-2023-events,firefox_android-interop-2023-property,firefox_android-interop-2023-url,firefox_android-interop-2024-accessibility,firefox_android-interop-2024-dir,firefox_android-interop-2024-dsd,firefox_android-interop-2024-font-size-adjust,firefox_android-interop-2024-indexeddb,firefox_android-interop-2024-layout,firefox_android-interop-2024-nesting,firefox_android-interop-2024-popover,firefox_android-interop-2024-relative-color,firefox_android-interop-2024-scrollbar,firefox_android-interop-2024-starting-style-transition-behavior,firefox_android-interop-2024-text-wrap,firefox_android-interop-2024-video-rvfc,firefox_android-interop-2024-websockets,interop-interop-2023-events,interop-interop-2023-property,interop-interop-2023-url,interop-interop-2024-accessibility,interop-interop-2024-dir,interop-interop-2024-dsd,interop-interop-2024-font-size-adjust,interop-interop-2024-indexeddb,interop-interop-2024-layout,interop-interop-2024-nesting,interop-interop-2024-popover,interop-interop-2024-relative-color,interop-interop-2024-scrollbar,interop-interop-2024-starting-style-transition-behavior,interop-interop-2024-text-wrap,interop-interop-2024-video-rvfc,interop-interop-2024-websockets,revision
2024-01-01T00:07:15.409000+00:00,122.0.6220.0,805,1000,868,839,950,896,732,982,750,696,827,198,529,614,647,750,214,123.0a1-nightly,624,895,974,804,829,909,1000,957,937,959,946,50,672,166,589,83,285,633,895,857,754,797,986,732,946,703,659,822,50,529,250,579,83,214,2a639a9fe4cdefd4ecd124a3f30caf631150eea5
2024-01-04T01:36:27.068000+00:00,122.0.6226.0,805,1000,868,843,970,896,732,982,751,696,820,198,529,614,647,750,214,123.0a1-nightly,624,895,974,804,829,909,1000,956,938,959,946,50,672,166,589,83,285,633,895,857,756,817,986,732,946,704,659,815,50,529,250,579,83,214,3450d2440287c488907ceb4f212c24367f1d42ff
2024-01-05T01:27:42.373000+00:00,122.0.6228.0,796,1000,868,845,880,896,692,982,755,724,822,198,509,614,647,750,214,123.0a1-nightly,624,895,974,804,829,909,1000,956,938,959,946,50,672,166,589,83,285,623,895,857,759,747,986,692,946,708,688,817,50,509,250,579,83,214,cbc4429f8320620f8ab617f67211078fad51aee7
2024-01-10T01:40:42.190000+00:00,122.0.6238.0,796,1000,868,851,979,896,732,982,751,724,822,194,509,614,647,750,214,123.0a1-nightly,624,895,974,804,832,909,1000,954,937,959,946,50,672,166,589,83,285,623,895,857,766,831,986,732,943,704,688,817,47,509,250,579,83,214,7f564156b7e55b6300f795efcbeff8d63fb96004
2024-01-12T01:15:57.915000+00:00,122.0.6242.0,796,1000,868,850,930,896,732,982,751,724,827,194,529,614,647,750,214,123.0a1-nightly,624,895,974,803,832,909,1000,956,937,959,946,50,672,166,589,83,285,623,895,857,764,780,986,732,946,704,688,822,47,529,250,579,83,214,ae27ac9c8b718cd2abbc632f34c525d5068fbecf
2024-01-13T01:38:49.282000+00:00,122.0.6245.0,805,1000,868,850,970,896,732,982,747,724,822,194,489,614,647,750,214,123.0a1-nightly,624,895,974,803,822,909,1000,956,938,959,946,50,672,166,589,83,285,633,895,857,762,820,986,732,946,700,688,817,47,489,250,579,83,214,9e0d5be01079de6c7d32474f2a26dfeaef2a791c
2024-01-17T01:26:45.716000+00:00,122.0.6253.0,805,1000,868,849,950,896,732,982,747,696,827,194,489,614,647,750,214,123.0a1-nightly,624,895,974,802,822,909,1000,956,937,959,946,50,672,166,589,83,285,633,895,857,762,790,986,732,946,699,659,822,47,489,250,579,83,214,f66439a5ca42e416c30740cb25a7a72f3dda6d54
2024-01-20T01:38:46.279000+00:00,122.0.6259.0,805,1000,868,847,970,908,732,982,750,724,798,197,529,614,589,750,214,123.0a1-nightly,624,909,974,802,822,893,1000,956,938,959,946,50,672,166,589,83,285,633,909,857,757,810,982,732,946,702,688,793,50,529,250,520,83,214,645428d5fd3657a0d3ab7a673fcc29f301618c60
2024-01-24T00:32:26.758000+00:00,123.0.6262.0,805,1000,868,881,970,908,692,982,751,724,845,197,509,614,589,750,214,124.0a1-nightly,624,909,974,802,822,893,1000,956,937,959,946,50,672,166,589,83,1000,633,909,857,788,810,982,692,946,702,688,840,50,509,250,520,83,214,3564a4ae5e12f017d250bea7008c7f12aeb2446c
2024-01-29T01:47:28.769000+00:00,123.0.6269.0,825,1000,868,881,940,999,732,982,751,724,821,197,363,614,647,750,214,124.0a1-nightly,672,930,974,802,822,984,1000,956,937,959,946,50,567,166,895,83,1000,667,930,857,788,790,983,732,946,703,688,816,50,423,250,589,83,214,fb81ba9b33964b3177b4f6c1715d5f46c325b443
