category,score
interop-2023-events,944
interop-2023-property,999
interop-2023-url,957
interop-2024-accessibility,999
interop-2024-dir,60
interop-2024-dsd,1000
interop-2024-font-size-adjust,280
interop-2024-indexeddb,958
interop-2024-layout,359
interop-2024-nesting,487
interop-2024-popover,804
interop-2024-relative-color,198
interop-2024-scrollbar,325
interop-2024-starting-style-transition-behavior,972
interop-2024-text-wrap,705
interop-2024-video-rvfc,1000
interop-2024-websockets,928
