category,score
interop-2023-events,483
interop-2023-property,981
interop-2023-url,997
interop-2024-accessibility,970
interop-2024-dir,945
interop-2024-dsd,1000
interop-2024-font-size-adjust,1000
interop-2024-indexeddb,956
interop-2024-layout,927
interop-2024-nesting,665
interop-2024-popover,981
interop-2024-relative-color,996
interop-2024-scrollbar,482
interop-2024-starting-style-transition-behavior,986
interop-2024-text-wrap,1000
interop-2024-video-rvfc,1000
interop-2024-websockets,1000
