category,score
interop-2023-events,857
interop-2023-property,998
interop-2023-url,996
interop-2024-accessibility,878
interop-2024-dir,893
interop-2024-dsd,919
interop-2024-font-size-adjust,1000
interop-2024-indexeddb,916
interop-2024-layout,894
interop-2024-nesting,734
interop-2024-popover,958
interop-2024-relative-color,121
interop-2024-scrollbar,482
interop-2024-starting-style-transition-behavior,975
interop-2024-text-wrap,1000
interop-2024-video-rvfc,520
interop-2024-websockets,1000
