category,score
interop-2023-events,843
interop-2023-property,937
interop-2023-url,868
interop-2024-accessibility,918
interop-2024-dir,890
interop-2024-dsd,999
interop-2024-font-size-adjust,692
interop-2024-indexeddb,979
interop-2024-layout,739
interop-2024-nesting,702
interop-2024-popover,899
interop-2024-relative-color,195
interop-2024-scrollbar,404
interop-2024-starting-style-transition-behavior,920
interop-2024-text-wrap,649
interop-2024-video-rvfc,625
interop-2024-websockets,214
