category,score
interop-2023-events,971
interop-2023-property,1000
interop-2023-url,957
interop-2024-accessibility,998
interop-2024-dir,970
interop-2024-dsd,1000
interop-2024-font-size-adjust,757
interop-2024-indexeddb,879
interop-2024-layout,748
interop-2024-nesting,948
interop-2024-popover,902
interop-2024-relative-color,770
interop-2024-scrollbar,489
interop-2024-starting-style-transition-behavior,916
interop-2024-text-wrap,941
interop-2024-video-rvfc,1000
interop-2024-websockets,928
