category,score
interop-2023-events,805
interop-2023-property,1000
interop-2023-url,868
interop-2024-accessibility,848
interop-2024-dir,960
interop-2024-dsd,896
interop-2024-font-size-adjust,732
interop-2024-indexeddb,979
interop-2024-layout,753
interop-2024-nesting,696
interop-2024-popover,812
interop-2024-relative-color,194
interop-2024-scrollbar,529
interop-2024-starting-style-transition-behavior,637
interop-2024-text-wrap,589
interop-2024-video-rvfc,750
interop-2024-websockets,214
