category,score
interop-2023-events,957
interop-2023-property,1000
interop-2023-url,957
interop-2024-accessibility,999
interop-2024-dir,960
interop-2024-dsd,1000
interop-2024-font-size-adjust,720
interop-2024-indexeddb,939
interop-2024-layout,746
interop-2024-nesting,923
interop-2024-popover,902
interop-2024-relative-color,920
interop-2024-scrollbar,468
interop-2024-starting-style-transition-behavior,972
interop-2024-text-wrap,1000
interop-2024-video-rvfc,1000
interop-2024-websockets,928
