category,score
interop-2023-events,544
interop-2023-property,981
interop-2023-url,997
interop-2024-accessibility,973
interop-2024-dir,945
interop-2024-dsd,1000
interop-2024-font-size-adjust,1000
interop-2024-indexeddb,957
interop-2024-layout,928
interop-2024-nesting,665
interop-2024-popover,981
interop-2024-relative-color,996
interop-2024-scrollbar,482
interop-2024-starting-style-transition-behavior,986
interop-2024-text-wrap,1000
interop-2024-video-rvfc,861
interop-2024-websockets,1000
