category,score
interop-2023-events,738
interop-2023-property,76
interop-2023-url,897
interop-2024-accessibility,951
interop-2024-dir,867
interop-2024-dsd,1000
interop-2024-font-size-adjust,997
interop-2024-indexeddb,975
interop-2024-layout,939
interop-2024-nesting,1000
interop-2024-popover,1000
interop-2024-relative-color,50
interop-2024-scrollbar,1000
interop-2024-starting-style-transition-behavior,255
interop-2024-text-wrap,1000
interop-2024-video-rvfc,83
interop-2024-websockets,1000
