category,score
interop-2023-events,877
interop-2023-property,937
interop-2023-url,869
interop-2024-accessibility,952
interop-2024-dir,950
interop-2024-dsd,1000
interop-2024-font-size-adjust,671
interop-2024-indexeddb,976
interop-2024-layout,745
interop-2024-nesting,942
interop-2024-popover,906
interop-2024-relative-color,197
interop-2024-scrollbar,489
interop-2024-starting-style-transition-behavior,983
interop-2024-text-wrap,649
interop-2024-video-rvfc,750
interop-2024-websockets,928
