category,score
interop-2023-events,1000
interop-2023-property,930
interop-2023-url,985
interop-2024-accessibility,822
interop-2024-dir,831
interop-2024-dsd,966
interop-2024-font-size-adjust,1000
interop-2024-indexeddb,964
interop-2024-layout,940
interop-2024-nesting,959
interop-2024-popover,948
interop-2024-relative-color,50
interop-2024-scrollbar,1000
interop-2024-starting-style-transition-behavior,183
interop-2024-text-wrap,1000
interop-2024-video-rvfc,83
interop-2024-websockets,1000
