category,score
interop-2023-events,870
interop-2023-property,992
interop-2023-url,897
interop-2024-accessibility,954
interop-2024-dir,866
interop-2024-dsd,1000
interop-2024-font-size-adjust,1000
interop-2024-indexeddb,999
interop-2024-layout,941
interop-2024-nesting,957
interop-2024-popover,1000
interop-2024-relative-color,149
interop-2024-scrollbar,1000
interop-2024-starting-style-transition-behavior,958
interop-2024-text-wrap,1000
interop-2024-video-rvfc,111
interop-2024-websockets,1000
