category,score
interop-2023-events,810
interop-2023-property,933
interop-2023-url,919
interop-2024-accessibility,976
interop-2024-dir,870
interop-2024-dsd,1000
interop-2024-font-size-adjust,800
interop-2024-indexeddb,923
interop-2024-layout,731
interop-2024-nesting,891
interop-2024-popover,853
interop-2024-relative-color,998
interop-2024-scrollbar,448
interop-2024-starting-style-transition-behavior,888
interop-2024-text-wrap,941
interop-2024-video-rvfc,1000
interop-2024-websockets,785
