category,score
interop-2023-events,877
interop-2023-property,937
interop-2023-url,868
interop-2024-accessibility,929
interop-2024-dir,930
interop-2024-dsd,1000
interop-2024-font-size-adjust,692
interop-2024-indexeddb,979
interop-2024-layout,741
interop-2024-nesting,931
interop-2024-popover,899
interop-2024-relative-color,197
interop-2024-scrollbar,383
interop-2024-starting-style-transition-behavior,920
interop-2024-text-wrap,590
interop-2024-video-rvfc,750
interop-2024-websockets,214
