category,score
interop-2023-events,928
interop-2023-property,999
interop-2023-url,956
interop-2024-accessibility,999
interop-2024-dir,980
interop-2024-dsd,1000
interop-2024-font-size-adjust,800
interop-2024-indexeddb,949
interop-2024-layout,754
interop-2024-nesting,948
interop-2024-popover,902
interop-2024-relative-color,998
interop-2024-scrollbar,489
interop-2024-starting-style-transition-behavior,972
interop-2024-text-wrap,941
interop-2024-video-rvfc,1000
interop-2024-websockets,928
