category,score
interop-2023-events,739
interop-2023-property,76
interop-2023-url,882
interop-2024-accessibility,803
interop-2024-dir,827
interop-2024-dsd,491
interop-2024-font-size-adjust,1000
interop-2024-indexeddb,964
interop-2024-layout,935
interop-2024-nesting,959
interop-2024-popover,220
interop-2024-relative-color,50
interop-2024-scrollbar,857
interop-2024-starting-style-transition-behavior,183
interop-2024-text-wrap,589
interop-2024-video-rvfc,83
interop-2024-websockets,285
