category,score
interop-2023-events,821
interop-2023-property,1000
interop-2023-url,868
interop-2024-accessibility,856
interop-2024-dir,989
interop-2024-dsd,769
interop-2024-font-size-adjust,362
interop-2024-indexeddb,994
interop-2024-layout,995
interop-2024-nesting,782
interop-2024-popover,944
interop-2024-relative-color,194
interop-2024-scrollbar,1000
interop-2024-starting-style-transition-behavior,921
interop-2024-text-wrap,649
interop-2024-video-rvfc,750
interop-2024-websockets,214
