category,score
interop-2023-events,857
interop-2023-property,935
interop-2023-url,997
interop-2024-accessibility,878
interop-2024-dir,943
interop-2024-dsd,967
interop-2024-font-size-adjust,1000
interop-2024-indexeddb,963
interop-2024-layout,926
interop-2024-nesting,763
interop-2024-popover,981
interop-2024-relative-color,116
interop-2024-scrollbar,482
interop-2024-starting-style-transition-behavior,980
interop-2024-text-wrap,1000
interop-2024-video-rvfc,520
interop-2024-websockets,1000
