category,score
interop-2023-events,935
interop-2023-property,933
interop-2023-url,956
interop-2024-accessibility,1000
interop-2024-dir,990
interop-2024-dsd,1000
interop-2024-font-size-adjust,1000
interop-2024-indexeddb,992
interop-2024-layout,998
interop-2024-nesting,974
interop-2024-popover,1000
interop-2024-relative-color,998
interop-2024-scrollbar,1000
interop-2024-starting-style-transition-behavior,930
interop-2024-text-wrap,1000
interop-2024-video-rvfc,1000
interop-2024-websockets,928
