category,score
interop-2023-events,841
interop-2023-property,921
interop-2023-url,869
interop-2024-accessibility,963
interop-2024-dir,960
interop-2024-dsd,1000
interop-2024-font-size-adjust,711
interop-2024-indexeddb,976
interop-2024-layout,752
interop-2024-nesting,942
interop-2024-popover,878
interop-2024-relative-color,197
interop-2024-scrollbar,468
interop-2024-starting-style-transition-behavior,983
interop-2024-text-wrap,649
interop-2024-video-rvfc,750
interop-2024-websockets,928
