category,score
interop-2023-events,857
interop-2023-property,935
interop-2023-url,996
interop-2024-accessibility,866
interop-2024-dir,943
interop-2024-dsd,761
interop-2024-font-size-adjust,997
interop-2024-indexeddb,965
interop-2024-layout,924
interop-2024-nesting,763
interop-2024-popover,981
interop-2024-relative-color,46
interop-2024-scrollbar,482
interop-2024-starting-style-transition-behavior,10
interop-2024-text-wrap,470
interop-2024-video-rvfc,625
interop-2024-websockets,1000
