category,score
interop-2023-events,928
interop-2023-property,933
interop-2023-url,916
interop-2024-accessibility,953
interop-2024-dir,910
interop-2024-dsd,909
interop-2024-font-size-adjust,800
interop-2024-indexeddb,889
interop-2024-layout,738
interop-2024-nesting,974
interop-2024-popover,902
interop-2024-relative-color,849
interop-2024-scrollbar,457
interop-2024-starting-style-transition-behavior,972
interop-2024-text-wrap,1000
interop-2024-video-rvfc,1000
interop-2024-websockets,928
