category,score
interop-2023-events,958
interop-2023-property,991
interop-2023-url,897
interop-2024-accessibility,1000
interop-2024-dir,1000
interop-2024-dsd,1000
interop-2024-font-size-adjust,1000
interop-2024-indexeddb,999
interop-2024-layout,955
interop-2024-nesting,974
interop-2024-popover,1000
interop-2024-relative-color,975
interop-2024-scrollbar,1000
interop-2024-starting-style-transition-behavior,958
interop-2024-text-wrap,1000
interop-2024-video-rvfc,1000
interop-2024-websockets,1000
