category,score
interop-2023-events,848
interop-2023-property,996
interop-2023-url,997
interop-2024-accessibility,997
interop-2024-dir,984
interop-2024-dsd,1000
interop-2024-font-size-adjust,1000
interop-2024-indexeddb,909
interop-2024-layout,942
interop-2024-nesting,974
interop-2024-popover,966
interop-2024-relative-color,1000
interop-2024-scrollbar,979
interop-2024-starting-style-transition-behavior,1000
interop-2024-text-wrap,1000
interop-2024-video-rvfc,916
interop-2024-websockets,1000
