category,score
interop-2023-events,928
interop-2023-property,999
interop-2023-url,956
interop-2024-accessibility,999
interop-2024-dir,970
interop-2024-dsd,1000
interop-2024-font-size-adjust,840
interop-2024-indexeddb,963
interop-2024-layout,755
interop-2024-nesting,897
interop-2024-popover,902
interop-2024-relative-color,998
interop-2024-scrollbar,489
interop-2024-starting-style-transition-behavior,972
interop-2024-text-wrap,1000
interop-2024-video-rvfc,1000
interop-2024-websockets,928
