date,firefox-version,firefox-interop-2023-events,firefox-interop-2024-layout,firefox-interop-2025-anchor-positioning,firefox-interop-2025-backdrop-filter,firefox-interop-2025-core-web-vitals,firefox-interop-2025-details,firefox-interop-2025-modules,firefox-interop-2025-navigation,firefox-interop-2025-remove-mutation-events,firefox-interop-2025-scope,firefox-interop-2025-scrollend,firefox-interop-2025-storageaccess,firefox-interop-2025-textdecoration,firefox-interop-2025-urlpattern,firefox-interop-2025-view-transitions,firefox-interop-2025-webassembly,firefox-interop-2025-webcompat,firefox-interop-2025-webrtc,firefox-interop-2025-writingmodes,interop-interop-2023-events,interop-interop-2024-layout,interop-interop-2025-anchor-positioning,interop-interop-2025-backdrop-filter,interop-interop-2025-core-web-vitals,interop-interop-2025-details,interop-interop-2025-modules,interop-interop-2025-navigation,interop-interop-2025-remove-mutation-events,interop-interop-2025-scope,interop-interop-2025-scrollend,interop-interop-2025-storageaccess,interop-interop-2025-textdecoration,interop-interop-2025-urlpattern,interop-interop-2025-view-transitions,interop-interop-2025-webassembly,interop-interop-2025-webcompat,interop-interop-2025-webrtc,interop-interop-2025-writingmodes,revision
2025-01-01,20250101212421,925,953,230,760,720,488,978,7,0,840,916,909,991,1,238,0,540,750,937,947,953,232,814,720,515,978,7,0,840,916,909,991,1,242,0,708,750,943,b60410fc60da83deed5ee7141d5eba84e6100583
2025-01-02,20250102212743,925,953,230,760,711,488,978,7,0,840,916,905,991,1,238,0,540,750,937,947,953,232,814,711,515,978,7,0,840,916,905,991,1,242,0,708,750,943,94c05b2b36188c127c71f09614343df6844c8f7b
2025-01-03,20250103215221,925,953,230,760,736,488,978,7,0,840,916,909,991,1,238,0,540,750,937,947,953,232,814,736,515,978,7,0,840,916,909,991,1,242,0,708,750,943,a0bf2974a2a864dcf8ce7a219e9dd8af3f73caf0
2025-01-04,20250104120505,925,953,230,760,720,488,978,7,0,840,916,905,991,1,238,0,540,750,937,947,953,232,814,720,515,978,7,0,840,916,905,991,1,242,0,708,750,943,334031c784f2a99b7ea054b94ccbeeeca433108b
2025-01-05,20250105092842,925,953,230,760,720,488,978,7,0,840,916,909,991,1,238,0,540,750,937,947,953,232,814,720,515,978,7,0,840,916,909,991,1,242,0,708,750,943,a36016924712120858870216a6a23bc9dfb021d3
2025-01-06,20250106213515,925,953,230,760,728,488,978,7,0,840,916,899,991,1,238,0,540,750,937,947,953,232,814,728,515,978,7,0,840,916,899,991,1,242,0,708,750,943,708f57803127c074075a1e65bcadd7303d14df8b
2025-01-07,20250107165124,925,953,230,760,720,488,978,7,0,840,916,909,991,1,238,0,540,750,937,947,953,232,814,720,515,978,7,0,840,916,909,991,1,242,0,708,750,943,114a69547c262e92d13156de8a309ee3de9ac35a
2025-01-08,20250108215653,925,953,230,760,711,488,978,7,0,840,916,905,991,1,239,0,540,750,937,947,953,232,814,711,515,978,7,0,840,916,905,991,1,241,0,708,750,943,278f379105b319fd8690296a78252df11b3ceb2f
2025-01-09,20250109183505,925,953,230,760,736,488,978,7,0,840,916,909,991,1,239,0,540,750,937,947,953,232,814,736,515,978,7,0,840,916,909,991,1,241,0,708,750,943,d342dabbf5220645f92f272afd499780c3890a9c
2025-01-10,20250110214402,925,953,230,760,563,488,978,7,0,840,916,909,991,1,239,0,577,750,937,947,953,232,814,563,515,978,7,0,840,916,909,991,1,240,0,721,750,943,86f62a648ef0e51bbb66ef7241df70b3b47a5eec
2025-01-11,20250111213535,925,953,230,760,554,488,978,7,0,840,916,905,991,1,239,0,577,750,937,947,953,232,814,554,515,978,7,0,840,916,905,991,1,240,0,721,750,943,3b597e62bd28015328688468f817ad50d4d42106
2025-01-12,20250112212231,925,953,230,760,563,488,978,7,0,840,916,905,991,1,239,0,577,750,937,947,953,232,814,563,515,978,7,0,840,916,905,991,1,240,0,721,750,943,44910f21eb087422dbc3e28ac1e819797bc45f0b
2025-01-13,20250113214519,929,953,230,826,554,488,978,7,0,840,916,902,991,1,239,0,577,750,937,952,953,230,826,554,515,978,7,0,840,916,902,991,1,240,0,721,750,943,9c70867f63dbaa2414f4d9279a83d69382155a0b
2025-01-14,20250114212341,929,953,230,826,554,488,978,7,0,840,916,902,991,1,191,0,577,750,937,952,953,230,826,554,515,978,7,0,840,916,902,991,1,192,0,721,750,943,933bfbddaf61376385fb1efae72d62d81e6f8b91
2025-01-15,20250115215720,929,953,230,826,554,488,978,7,0,840,916,909,991,1,191,0,577,750,937,952,953,230,826,554,515,978,7,0,840,916,909,991,1,192,0,721,750,943,f7524feb52aa820a5e877b14b4a0a02815cf3ae8
2025-01-16,20250116214017,929,953,230,826,554,488,978,7,0,840,916,909,991,1,191,0,577,808,937,952,953,230,826,554,515,978,7,0,840,916,909,991,1,192,0,721,808,943,261049524fa0acc65435a696e445d1afae7af521
2025-01-17,20250117215754,929,953,230,826,554,567,978,7,0,840,916,909,991,1,191,0,577,808,937,952,953,230,826,554,567,978,7,0,840,916,909,991,1,192,0,721,808,943,4f1775f4e14575b7734764c4c38a16d54c2c8618
2025-01-18,20250118213700,929,953,230,826,554,567,978,7,0,840,916,909,991,1,191,0,577,808,937,952,953,230,826,554,567,978,7,0,840,916,909,991,1,192,0,721,808,943,1c4cbc5b7ae6b95de81e64c70bf92bedf34f1d36
2025-01-19,20250119092932,929,953,230,826,554,567,978,7,0,840,916,909,991,1,191,0,577,808,937,952,953,230,826,554,567,978,7,0,840,916,909,991,1,192,0,721,808,943,bd2ac8b50d756d996a9a25a3d71432557eeb1c9f
2025-01-20,20250120214839,929,954,230,826,554,567,978,7,0,840,916,902,991,1,191,0,577,808,937,952,954,230,826,554,567,978,7,0,840,916,902,991,1,192,0,721,808,943,a54625216170e0a916a37e58da2ca5c1145183d6
2025-01-21,20250121212851,929,954,230,826,554,567,978,7,0,840,916,905,991,1,191,0,577,808,937,952,954,230,826,554,567,978,7,0,840,916,905,991,1,192,0,721,808,943,71d2bf08d2da8edd6e390cf38eee723d8d4733d8
2025-01-22,20250122165122,929,957,241,826,554,567,978,7,0,840,916,909,991,1,198,0,577,808,937,952,957,241,826,554,567,978,7,0,840,916,909,991,1,198,0,721,808,943,d722742783800adacd7456d3976f72b53960f09d
2025-01-23,20250123215052,929,957,241,826,554,567,978,7,0,840,916,909,991,1,198,0,577,808,937,952,957,241,826,554,567,978,7,0,840,916,909,991,1,198,0,721,808,943,22ec49d4e6f628eb81d7eaa2a6323bc03a42f966
2025-01-24,20250124210220,929,956,241,826,563,567,978,7,0,840,916,902,991,1,198,0,558,808,937,952,956,241,826,563,567,978,7,0,840,916,902,991,1,198,0,698,808,943,39fbc3b843e99533103e3a8a7df9b812a458be3b
2025-01-25,20250125212208,929,956,241,826,554,567,978,7,0,840,916,909,991,1,198,0,577,808,937,952,956,241,826,554,567,978,7,0,840,916,909,991,1,198,0,721,808,943,86db950c775f19a8ee252c4fe99a62abdcb0f2a4
2025-01-26,20250126212632,929,956,241,826,554,567,978,7,0,840,916,909,991,1,198,0,577,808,937,952,956,241,826,554,567,978,7,0,840,916,909,991,1,198,0,721,808,943,5e84ed5f3e13cb8a0f9ce61f4c723ceb2c93ea8b
2025-01-27,20250127162202,929,956,241,826,563,567,978,7,0,840,916,905,991,1,198,0,577,808,937,952,956,241,826,563,567,978,7,0,840,916,905,991,1,198,0,721,808,943,2c456ff06c722d1fa5c2820233da0db19b72b5c3
2025-01-28,20250128161837,929,956,241,826,563,567,978,7,0,840,916,909,991,1,198,0,577,808,937,952,956,241,826,563,567,978,7,0,840,916,909,991,1,198,0,721,808,943,d9b57e2b8726c289eb9ba86c2bc81594bbfbd326
2025-01-29,20250129170612,953,957,241,826,554,567,978,7,0,840,916,909,991,1,249,0,595,808,937,953,957,241,826,554,567,978,7,0,840,916,909,991,1,249,0,727,808,943,a950ed4804c0807d08c891f39553af2ce6fe5d12
2025-01-30,20250130214004,953,957,241,826,554,567,978,7,0,840,916,909,991,1,249,0,595,808,937,953,957,241,826,554,567,978,7,0,840,916,909,991,1,249,0,727,808,943,e4c015c9c9be931884cdceb895d0b693f6e1679d
2025-01-31,20250131152909,953,957,241,826,554,567,978,7,0,840,916,905,991,1,275,0,595,808,937,953,957,241,826,554,567,978,7,0,840,916,905,991,1,275,0,727,808,943,ca3ce1c36b37ef2cd0f060a079f5864f3fd89e96
2025-02-01,20250201213343,953,957,241,826,554,567,978,7,0,840,916,905,991,1,275,0,595,808,937,953,957,241,826,554,567,978,7,0,840,916,905,991,1,275,0,727,808,943,ef6ed1744c194b739808213a1f4b7f2eac8edc8c
2025-02-02,20250202210625,953,957,241,826,546,567,978,7,0,840,916,905,991,1,275,0,595,808,937,953,957,241,826,546,567,978,7,0,840,916,905,991,1,275,0,727,808,943,fc959685b9d936a86aff02d97793931c414a8600
2025-02-03,20250203211456,953,957,241,826,563,567,978,7,0,840,916,909,991,1,275,0,595,808,937,953,957,241,826,563,567,978,7,0,840,916,909,991,1,275,0,727,808,943,29c957dc0c6f710ef5e2471560a1f49e7c655db9
2025-02-04,20250204214027,953,957,241,826,554,567,978,7,0,840,916,909,991,1,275,0,595,808,937,953,957,241,826,554,567,978,7,0,840,916,909,991,1,275,0,727,808,943,1a07567906ae594ec8d3b9dae672f4186b22f557
2025-02-05,20250205165659,953,957,241,826,554,567,978,7,400,840,916,909,991,1,275,0,595,808,937,953,957,241,826,554,567,978,7,400,840,916,909,991,1,275,0,727,808,943,e96db7f2fc84bf31d8081316be884a96496fecb6
2025-02-06,20250206161648,953,957,241,826,546,567,978,7,400,840,916,905,991,1,275,0,595,808,937,953,957,241,826,546,567,978,7,400,840,916,905,991,1,275,0,727,808,943,5223a9e8f62812d59d3daaedadb64d1be3c8757b
2025-02-07,20250207164009,953,957,241,826,554,567,978,7,400,840,916,902,991,1,275,0,595,808,937,953,957,241,826,554,567,978,7,400,840,916,902,991,1,275,0,727,808,943,ce0f77cae5a91e2cb4b1ec859117e08aa1182c52
2025-02-08,20250208210338,953,957,241,826,554,567,978,7,400,840,916,905,991,1,275,0,595,808,937,953,957,241,826,554,567,978,7,400,840,916,905,991,1,275,0,727,808,943,429a5fdfd430c5cdc51bd66c1174816ae9921b1e
2025-02-09,20250209212051,953,957,241,826,554,567,978,7,400,840,916,909,991,1,275,0,595,808,937,953,957,241,826,554,567,978,7,400,840,916,909,991,1,275,0,727,808,943,804f06781c29e65269decaa33e0ddf60f2e5da46
2025-02-10,20250210213927,953,957,241,826,554,567,978,7,400,840,916,897,991,1,275,0,595,808,943,953,957,241,826,554,567,978,7,400,840,916,897,991,1,275,0,727,808,943,dabc3564fa3a922b2336541b737cb27ae04f4d3a
2025-02-11,20250211214755,953,957,241,826,554,567,978,7,400,840,916,897,991,1,275,0,595,808,943,953,957,241,826,554,567,978,7,400,840,916,897,991,1,275,0,727,808,943,7f5fd9b4d3452ee1132204bda40042e760dfeef4
2025-02-12,20250212161131,953,957,241,826,554,567,978,7,400,840,916,891,991,1,275,400,595,808,943,953,957,241,826,554,567,978,7,400,840,916,891,991,1,275,500,727,808,943,67ec343f7371867197cf934cb798dd9bb4630bd2
2025-02-13,20250213205200,953,957,241,826,563,567,978,21,400,840,916,894,991,1,282,400,595,808,943,953,957,241,826,563,567,978,21,400,840,916,894,991,1,282,500,727,808,943,641278271fbd4e8cda6525517d7869ec6420117e
2025-02-14,20250214215152,953,957,241,826,554,567,978,21,400,840,916,897,991,1,282,400,595,808,943,953,957,241,826,554,567,978,21,400,840,916,897,991,1,282,500,727,808,943,8e442c6e776594983158fd04b5331f1378f5f0dd
2025-02-15,20250215211207,953,957,241,826,554,567,978,21,400,840,916,897,991,1,282,400,595,808,943,953,957,241,826,554,567,978,21,400,840,916,897,991,1,282,500,727,808,943,5a1f8c0bb78ff37be91664aed64b57dff695a627
2025-02-16,20250216215004,953,957,241,826,563,567,978,21,400,840,916,897,991,1,282,400,595,808,943,953,957,241,826,563,567,978,21,400,840,916,897,991,1,282,500,727,808,943,f58704c01d87aca9fb884b9a1714e89c224cb589
2025-02-17,20250217211147,953,957,241,826,563,567,978,21,400,840,916,897,991,1,282,400,595,808,943,953,957,241,826,563,567,978,21,400,840,916,897,991,1,282,500,727,808,943,5350be581fafe1882951f1e89c0c8cbb4aaf2370
2025-02-18,20250218205441,953,957,241,826,554,567,978,21,400,840,916,897,991,1,282,400,595,808,943,953,957,241,826,554,567,978,21,400,840,916,897,991,1,282,500,727,808,943,f47117ef97a7314f4c3d0f844b7c908b0c97038c
2025-02-19,20250219215346,953,957,241,826,563,567,989,21,400,840,916,891,991,1,300,400,595,808,943,953,957,241,826,563,567,989,21,400,840,916,891,991,1,300,500,595,808,943,06d540d058a12f54fed2eecd06083ed8bd3a1417
2025-02-20,20250220164902,953,957,241,826,554,567,989,21,400,840,916,897,991,1,300,400,595,808,943,953,957,241,826,554,567,989,21,400,840,916,897,991,1,300,500,595,808,943,a156fd1b3f748024a29279871f79684a32a20bcd
2025-02-21,20250221165821,953,957,241,826,554,567,989,21,400,840,916,897,991,1,300,400,595,808,943,953,957,241,826,554,567,989,21,400,840,916,897,991,1,300,500,595,808,943,2cf34b3c9e6115e24043da1a5e48d3e272d37d4d
2025-02-22,20250222213624,953,957,241,826,554,567,989,21,400,840,916,891,991,1,304,400,595,808,943,953,957,241,826,554,567,989,21,400,840,916,891,991,1,304,500,595,808,943,7a7d2fb4b923dc1dcc6d2825606570cb7feb743b
2025-02-23,20250223093828,953,957,241,826,554,567,989,21,400,840,916,897,991,1,304,400,595,808,943,953,957,241,826,554,567,989,21,400,840,916,897,991,1,304,500,595,808,943,3196f540b6efbdd693e037a3b03a61ef6fe7f6fc
2025-02-24,20250224170755,953,957,241,826,563,567,989,21,400,840,916,897,991,1,304,400,595,808,943,953,957,241,826,563,567,989,21,400,840,916,897,991,1,304,500,595,808,943,a3d508507022919429308d9c2d9cace99ff2be56
