date,chrome-version,chrome-interop-2023-events,chrome-interop-2024-layout,chrome-interop-2025-anchor-positioning,chrome-interop-2025-backdrop-filter,chrome-interop-2025-core-web-vitals,chrome-interop-2025-details,chrome-interop-2025-modules,chrome-interop-2025-navigation,chrome-interop-2025-remove-mutation-events,chrome-interop-2025-scope,chrome-interop-2025-scrollend,chrome-interop-2025-storageaccess,chrome-interop-2025-textdecoration,chrome-interop-2025-urlpattern,chrome-interop-2025-view-transitions,chrome-interop-2025-webassembly,chrome-interop-2025-webcompat,chrome-interop-2025-webrtc,chrome-interop-2025-writingmodes,firefox-version,firefox-interop-2023-events,firefox-interop-2024-layout,firefox-interop-2025-anchor-positioning,firefox-interop-2025-backdrop-filter,firefox-interop-2025-core-web-vitals,firefox-interop-2025-details,firefox-interop-2025-modules,firefox-interop-2025-navigation,firefox-interop-2025-remove-mutation-events,firefox-interop-2025-scope,firefox-interop-2025-scrollend,firefox-interop-2025-storageaccess,firefox-interop-2025-textdecoration,firefox-interop-2025-urlpattern,firefox-interop-2025-view-transitions,firefox-interop-2025-webassembly,firefox-interop-2025-webcompat,firefox-interop-2025-webrtc,firefox-interop-2025-writingmodes,safari-version,safari-interop-2023-events,safari-interop-2024-layout,safari-interop-2025-anchor-positioning,safari-interop-2025-backdrop-filter,safari-interop-2025-core-web-vitals,safari-interop-2025-details,safari-interop-2025-modules,safari-interop-2025-navigation,safari-interop-2025-remove-mutation-events,safari-interop-2025-scope,safari-interop-2025-scrollend,safari-interop-2025-storageaccess,safari-interop-2025-textdecoration,safari-interop-2025-urlpattern,safari-interop-2025-view-transitions,safari-interop-2025-webassembly,safari-interop-2025-webcompat,safari-interop-2025-webrtc,safari-interop-2025-writingmodes,interop-interop-2023-events,interop-interop-2024-layout,interop-interop-2025-anchor-positioning,interop-interop-2025-backdrop-filter,interop-interop-2025-core-web-vitals,interop-interop-2025-details,interop-interop-2025-modules,interop-interop-2025-navigation,interop-interop-2025-remove-mutation-events,interop-interop-2025-scope,interop-interop-2025-scrollend,interop-interop-2025-storageaccess,interop-interop-2025-textdecoration,interop-interop-2025-urlpattern,interop-interop-2025-view-transitions,interop-interop-2025-webassembly,interop-interop-2025-webcompat,interop-interop-2025-webrtc,interop-interop-2025-writingmodes,revision,metadata-revision
2025-01-01T02:02:00.909000+00:00,131.0.6778.204,957,998,959,880,707,947,956,958,0,894,1000,622,911,1000,959,400,838,118,257,133.0.3,912,953,173,746,545,488,107,7,0,146,916,732,991,1,64,0,654,769,828,18.2 (20620.1.16.11.8),872,942,172,733,39,481,824,7,0,780,31,243,738,1,864,0,478,712,194,861,908,166,714,39,480,107,4,0,115,31,197,738,1,61,0,425,41,198,58c1148991566b4b3454edac0f9a8e11010e20b2,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-01-05T02:01:23.307000+00:00,131.0.6778.204,957,998,959,880,723,947,956,958,0,894,1000,622,911,1000,967,400,838,118,257,133.0.3,912,953,173,746,545,488,107,7,0,146,916,732,991,1,64,0,654,769,828,18.2 (20620.1.16.11.8),872,942,172,733,39,481,824,7,0,780,20,243,738,1,860,0,478,712,194,861,908,166,714,39,480,107,4,0,115,20,197,738,1,61,0,425,41,198,c72ee0c082d350b8b44f7a6bac1f028752b13527,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-01-11T01:54:31.795000+00:00,131.0.6778.264,961,998,963,946,723,947,956,958,0,894,1000,622,911,1000,963,400,882,118,257,134.0,917,954,173,813,545,488,107,7,0,146,916,729,991,1,64,400,654,769,828,18.2 (20620.1.16.11.8),877,942,172,786,39,481,830,7,0,780,20,243,738,1,860,0,523,712,194,866,909,164,720,39,480,107,4,0,115,20,197,738,1,61,0,406,41,198,475127f90be9926867796ff98717b621a358af52,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-01-13T02:04:43.257000+00:00,131.0.6778.264,961,998,963,946,723,947,956,958,0,894,1000,622,911,1000,967,400,882,118,257,134.0,917,954,173,813,545,488,107,7,0,146,916,729,991,1,64,400,654,769,828,18.2 (20620.1.16.11.8),877,943,172,786,39,481,830,7,0,780,20,243,738,1,864,0,523,712,194,866,910,164,720,39,480,107,4,0,115,20,197,738,1,61,0,406,41,198,de55a5d77041ccefa4d549c04b87aff437be8f3f,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-01-14T01:54:05.975000+00:00,131.0.6778.264,961,998,963,946,723,947,956,958,0,894,1000,622,911,1000,967,400,882,118,257,134.0,917,954,173,813,545,488,107,7,0,146,395,863,991,1,64,400,654,769,828,18.2 (20620.1.16.11.8),877,943,172,786,39,481,824,7,0,780,31,243,738,1,857,0,523,712,194,866,910,164,720,39,480,107,4,0,115,10,197,738,1,61,0,406,41,198,6444e5185e75e0e3e57bc7879f59e5a19570793d,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-01-19T01:57:42.336000+00:00,132.0.6834.83,961,998,967,946,723,1000,956,958,0,923,1000,622,911,1000,970,400,882,118,932,134.0.1,917,954,173,813,545,488,107,7,0,146,395,863,991,1,64,400,654,808,828,18.2 (20620.1.16.11.8),848,942,172,786,39,481,830,7,0,780,31,243,738,1,860,0,523,712,194,837,909,164,720,39,455,107,4,0,115,10,197,738,1,60,0,406,41,206,8f3f629756d7351867a8be36d5f217608b9adc61,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-01-21T01:51:10.004000+00:00,132.0.6834.83,961,998,967,946,731,1000,956,958,0,923,1000,622,911,1000,970,400,882,118,932,134.0.1,917,954,173,813,545,488,107,7,0,146,395,732,991,1,64,400,654,808,828,18.2 (20620.1.16.11.8),877,942,172,786,39,481,824,7,0,780,31,243,738,1,860,0,523,712,194,866,909,164,720,39,455,107,4,0,115,10,197,738,1,60,0,406,41,206,cfcf3b9ae4211f2cf44fc1049d3fcf31d9f6fcc6,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-01-24T01:51:54.523000+00:00,132.0.6834.110,961,998,967,946,731,1000,956,958,0,923,1000,622,911,1000,973,400,882,118,932,134.0.2,917,954,173,813,553,488,107,7,0,146,395,729,991,1,64,400,654,808,828,18.2 (20620.1.16.11.8),848,942,172,786,39,481,830,7,0,780,20,243,738,1,865,0,523,712,194,837,910,164,720,39,455,107,4,0,115,10,197,738,1,60,0,406,41,206,2eafc9af5c0af68be0eb95d18422545a5316d0fa,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-01-26T01:54:27.342000+00:00,132.0.6834.110,961,998,967,946,731,1000,956,958,0,923,1000,622,911,1000,969,400,882,118,932,134.0.2,917,954,173,813,545,488,107,7,0,146,395,732,991,1,64,400,654,808,828,18.2 (20620.1.16.11.8),848,942,172,786,39,481,824,7,0,780,31,243,738,1,865,0,523,712,194,837,910,164,720,39,455,107,4,0,115,10,197,738,1,60,0,406,41,206,e5e7dab5e72edd352b17105acce2b8f443face10,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-01-27T01:53:50.768000+00:00,132.0.6834.110,961,998,967,946,723,1000,956,958,0,923,1000,622,911,1000,973,400,882,118,932,134.0.2,917,954,173,813,545,488,107,7,0,146,395,732,991,1,64,400,654,808,828,18.2 (20620.1.16.11.8),877,942,172,786,39,481,824,7,0,780,31,243,738,1,858,0,523,712,194,866,910,164,720,39,455,107,4,0,115,10,197,738,1,60,0,406,41,206,7063191470f790e0ac0d476f7ff909b06cc73b6d,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-02-02T02:00:19.326000+00:00,132.0.6834.159,961,998,967,946,731,1000,956,883,0,923,1000,622,911,1000,969,400,882,118,932,134.0.2,917,954,173,813,545,488,107,7,0,146,395,732,991,1,64,400,676,808,828,18.3 (20620.2.4.11.5),848,942,172,786,39,481,824,7,0,780,31,243,738,1,861,0,523,712,194,837,910,164,720,39,455,107,4,0,115,10,197,738,1,60,0,397,41,206,f630424a79c1ae17deaaf27a21efdbca1378af0e,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-02-03T01:52:54.553000+00:00,132.0.6834.159,961,998,967,946,731,1000,956,883,0,923,1000,622,911,1000,965,400,882,118,932,134.0.2,917,954,173,813,545,488,107,7,0,146,395,732,991,1,64,400,676,808,828,18.3 (20620.2.4.11.5),877,942,172,786,39,481,824,7,0,780,31,243,738,1,861,0,523,712,194,866,909,164,720,39,455,107,4,0,115,10,197,738,1,60,0,397,41,206,28af658f73488ef9a027a2c55add59e0576fcf79,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-02-06T01:58:47.596000+00:00,133.0.6943.53,1000,998,988,946,731,1000,956,883,1000,1000,1000,622,911,1000,965,400,882,118,932,135.0,971,954,173,813,545,488,107,7,400,146,395,726,991,1,64,400,720,808,828,18.3 (20620.2.4.11.5),877,941,172,786,39,481,824,7,300,780,20,243,738,1,861,0,523,712,194,876,909,172,720,39,455,107,4,300,115,10,197,738,1,57,0,441,41,206,1cea1765b9d6ee2b6ad47907e6812787080d66b6,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-02-09T02:00:46.712000+00:00,133.0.6943.53,1000,998,988,946,746,1000,956,883,1000,1000,1000,622,911,1000,965,400,882,118,935,135.0,971,954,173,813,554,488,107,7,400,146,395,721,991,1,64,400,720,808,829,18.3 (20620.2.4.11.5),877,942,172,786,40,481,830,7,300,780,20,243,738,1,858,0,523,712,193,876,909,172,720,40,455,107,4,300,115,10,197,738,1,57,0,441,41,205,1a5b13545ae58e468ed11e4c21912a3faf3355ea,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-02-10T01:54:55.618000+00:00,133.0.6943.53,1000,998,988,946,746,1000,956,883,1000,1000,1000,622,911,1000,968,400,882,118,930,135.0,971,954,173,813,563,488,107,7,400,146,395,717,991,1,64,400,720,808,830,18.3 (20620.2.4.11.5),877,942,172,786,40,481,824,7,300,780,31,243,738,1,865,0,523,712,192,876,910,172,720,40,455,107,4,300,115,10,197,738,1,60,0,441,41,203,339c5477e4f7aa4a0f60cb104588b708bf0b720f,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-02-16T02:01:14.747000+00:00,133.0.6943.98,904,998,988,946,738,1000,956,883,1000,1000,1000,622,911,1000,968,400,993,118,930,135.0,904,954,173,813,554,488,107,7,400,146,395,721,991,1,64,400,750,808,830,18.3 (20620.2.4.11.5),820,942,172,786,40,481,824,7,300,780,31,243,738,1,861,0,369,712,192,748,910,172,720,40,455,107,4,300,115,10,197,738,1,60,0,286,41,203,de61904887c13679551c32e5e3e70b4dc870c98a,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-02-17T01:57:20.950000+00:00,133.0.6943.98,904,998,988,946,746,1000,956,883,1000,1000,1000,622,911,1000,968,400,993,118,930,135.0,904,954,173,813,554,488,107,7,400,146,395,721,991,1,64,400,750,808,830,18.3 (20620.2.4.11.5),820,943,172,786,40,481,824,7,300,780,20,243,738,1,861,0,369,712,192,748,910,172,720,40,455,107,4,300,115,10,197,738,1,57,0,286,41,203,4ea48fec4b3c96437838c2fd5c4436d0a1b7a547,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-02-18T01:59:03.630000+00:00,133.0.6943.98,904,998,988,946,746,1000,956,883,1000,1000,1000,622,911,1000,968,400,993,118,930,135.0,904,954,173,813,563,488,107,7,400,146,395,721,991,1,64,400,750,808,830,18.3 (20620.2.4.11.5),796,942,172,786,40,481,824,7,300,780,20,243,738,1,865,0,369,712,192,724,910,172,720,40,455,107,4,300,115,10,197,738,1,57,0,286,41,203,09b2cb43d8dbfb5b3e960f8808ecfdf17826d80d,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-02-23T02:01:04.699000+00:00,133.0.6943.126,904,998,988,946,746,1000,946,883,1000,1000,1000,622,911,1000,961,400,903,118,930,135.0.1,928,954,173,813,554,488,118,7,400,146,395,721,991,1,64,400,589,808,830,18.3 (20620.2.4.11.5),820,942,172,786,40,481,824,7,300,780,31,243,738,1,854,0,428,712,192,748,909,172,720,40,455,118,4,300,115,10,197,738,1,60,0,361,41,203,3250a8d86c26f1e194fda2e8a13c2a83f0efda58,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-03-09T01:42:43.227000+00:00,134.0.6998.35,904,998,989,946,751,1000,946,883,1000,1000,1000,696,911,986,951,400,903,118,925,136.0,928,959,147,813,559,488,118,7,400,146,395,812,991,1,64,400,589,808,886,18.3 (20620.2.4.11.5),820,942,146,800,44,481,830,7,300,780,20,330,738,1,856,0,428,712,205,748,914,146,733,44,455,118,4,300,115,10,284,738,1,60,0,361,41,218,c23b0ad587af296087067b48a2f2101233589a8f,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-03-11T02:00:02.049000+00:00,134.0.6998.88,904,998,989,946,751,1000,946,883,1000,1000,1000,696,911,986,958,400,903,118,925,136.0,928,959,147,813,559,488,118,7,400,146,395,812,991,1,64,400,589,808,886,18.3 (20620.2.4.11.5),820,942,146,800,44,481,830,7,300,780,31,330,738,1,852,0,428,712,205,748,914,146,733,44,455,118,4,300,115,10,284,738,1,57,0,361,41,218,49aff2032b3b87889f313b414a744293f8e5a4e1,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-03-16T02:06:38.460000+00:00,134.0.6998.88,904,998,989,946,751,1000,946,883,1000,1000,1000,696,911,986,958,400,907,118,985,136.0.1,928,959,147,813,559,488,118,7,400,146,395,812,991,1,64,400,593,808,943,18.3 (20620.2.4.11.5),820,942,146,800,44,481,830,7,300,780,31,330,738,1,856,0,428,712,218,748,914,146,733,44,455,118,4,300,115,10,284,738,1,57,0,364,41,218,7a9307ef9e1e88229ced4a29991270d20911669c,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-03-17T02:03:12.509000+00:00,134.0.6998.88,904,998,989,946,759,1000,946,883,1000,1000,1000,696,911,986,958,400,907,118,985,136.0.1,928,959,147,813,567,488,118,7,400,146,395,812,991,1,64,400,593,808,943,18.3 (20620.2.4.11.5),820,942,146,800,44,481,824,7,300,780,31,330,738,1,856,0,428,712,218,748,914,146,733,44,455,118,4,300,115,10,284,738,1,57,0,364,41,218,78271cb729bc549c41ce3fd4b9361efe763626c1,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-03-21T02:07:22.993000+00:00,134.0.6998.90,904,997,989,946,751,1000,946,883,1000,1000,1000,696,911,984,949,400,924,41,985,136.0.2,928,958,147,813,559,488,118,7,400,146,410,812,991,1,66,400,603,808,949,18.3 (20620.2.4.11.5),820,942,146,800,44,481,830,7,300,780,17,330,738,1,861,0,417,712,218,748,914,146,733,44,455,118,4,300,115,8,284,738,1,59,0,371,41,218,3b80c08545da12877248af6c37c1fc2f0f285d3b,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
