category,score
interop-2023-events,857
interop-2024-layout,725
interop-2025-anchor-positioning,730
interop-2025-backdrop-filter,360
interop-2025-core-web-vitals,933
interop-2025-details,894
interop-2025-modules,784
interop-2025-navigation,916
interop-2025-remove-mutation-events,1000
interop-2025-scope,906
interop-2025-scrollend,916
interop-2025-storageaccess,696
interop-2025-textdecoration,911
interop-2025-urlpattern,740
interop-2025-view-transitions,195
interop-2025-webassembly,400
interop-2025-webcompat,691
interop-2025-webrtc,603
interop-2025-writingmodes,437
