category,score
interop-2023-events,947
interop-2024-layout,957
interop-2025-anchor-positioning,173
interop-2025-backdrop-filter,813
interop-2025-core-web-vitals,571
interop-2025-details,567
interop-2025-modules,107
interop-2025-navigation,7
interop-2025-remove-mutation-events,400
interop-2025-scope,115
interop-2025-scrollend,916
interop-2025-storageaccess,659
interop-2025-textdecoration,991
interop-2025-urlpattern,1
interop-2025-view-transitions,64
interop-2025-webassembly,400
interop-2025-webcompat,705
interop-2025-webrtc,808
interop-2025-writingmodes,824
