category,score
interop-2023-events,1000
interop-2024-layout,978
interop-2025-anchor-positioning,388
interop-2025-backdrop-filter,1000
interop-2025-core-web-vitals,981
interop-2025-details,947
interop-2025-modules,1000
interop-2025-navigation,400
interop-2025-remove-mutation-events,1000
interop-2025-scope,870
interop-2025-scrollend,1000
interop-2025-storageaccess,1000
interop-2025-textdecoration,1000
interop-2025-urlpattern,971
interop-2025-view-transitions,758
interop-2025-webassembly,1000
interop-2025-webcompat,986
interop-2025-webrtc,837
interop-2025-writingmodes,1000
