category,score
interop-2023-events,916
interop-2024-layout,766
interop-2025-anchor-positioning,741
interop-2025-backdrop-filter,347
interop-2025-core-web-vitals,948
interop-2025-details,1000
interop-2025-modules,833
interop-2025-navigation,987
interop-2025-remove-mutation-events,1000
interop-2025-scope,931
interop-2025-scrollend,1000
interop-2025-storageaccess,897
interop-2025-textdecoration,1000
interop-2025-urlpattern,750
interop-2025-view-transitions,240
interop-2025-webassembly,1000
interop-2025-webcompat,863
interop-2025-webrtc,155
interop-2025-writingmodes,485
