category,score
interop-2023-events,857
interop-2024-layout,748
interop-2025-anchor-positioning,756
interop-2025-backdrop-filter,337
interop-2025-core-web-vitals,933
interop-2025-details,894
interop-2025-modules,784
interop-2025-navigation,943
interop-2025-remove-mutation-events,1000
interop-2025-scope,937
interop-2025-scrollend,1000
interop-2025-storageaccess,674
interop-2025-textdecoration,911
interop-2025-urlpattern,733
interop-2025-view-transitions,223
interop-2025-webassembly,400
interop-2025-webcompat,717
interop-2025-webrtc,668
interop-2025-writingmodes,437
