category,score
interop-2023-events,873
interop-2024-layout,747
interop-2025-anchor-positioning,770
interop-2025-backdrop-filter,320
interop-2025-core-web-vitals,914
interop-2025-details,868
interop-2025-modules,795
interop-2025-navigation,942
interop-2025-remove-mutation-events,1000
interop-2025-scope,937
interop-2025-scrollend,1000
interop-2025-storageaccess,628
interop-2025-textdecoration,911
interop-2025-urlpattern,750
interop-2025-view-transitions,205
interop-2025-webassembly,400
interop-2025-webcompat,896
interop-2025-webrtc,680
interop-2025-writingmodes,385
