category,score
interop-2023-events,820
interop-2024-layout,942
interop-2025-anchor-positioning,146
interop-2025-backdrop-filter,800
interop-2025-core-web-vitals,40
interop-2025-details,481
interop-2025-modules,824
interop-2025-navigation,7
interop-2025-remove-mutation-events,300
interop-2025-scope,780
interop-2025-scrollend,20
interop-2025-storageaccess,330
interop-2025-textdecoration,738
interop-2025-urlpattern,1
interop-2025-view-transitions,851
interop-2025-webassembly,0
interop-2025-webcompat,428
interop-2025-webrtc,712
interop-2025-writingmodes,192
