category,score
interop-2023-events,820
interop-2024-layout,942
interop-2025-anchor-positioning,145
interop-2025-backdrop-filter,810
interop-2025-core-web-vitals,44
interop-2025-details,481
interop-2025-modules,856
interop-2025-navigation,4
interop-2025-remove-mutation-events,300
interop-2025-scope,780
interop-2025-scrollend,26
interop-2025-storageaccess,330
interop-2025-textdecoration,738
interop-2025-urlpattern,1
interop-2025-view-transitions,869
interop-2025-webassembly,0
interop-2025-webcompat,417
interop-2025-webrtc,712
interop-2025-writingmodes,218
